start	end	text
450440	456280	broken and need to be fixed, and I didn't want to do that anymore.
456280	461080	So I put my cart away at the front of the store and I drove home.
461080	467800	The next night was my weekly success meeting, and the director was up front telling us,
467800	471940	giving us all the information about the new lipstick formula and the changes that were
471940	475360	being made, and I started to look around the room at these women, and they were either
475360	480620	my friends who I recruited into it or my relatives who had recruited me into it, and I was thinking
480620	486000	about how devastating it would be when I quit, because I wasn't just rejecting everything
486000	492840	they stood for, but I was letting down my friends, I was bailing on them, and then my
492840	497280	relatives, the people who had recruited me, their income depended on me.
497280	503320	Their income, their status, all of our fortunes were tied in together.
503320	508600	And I thought, but is this really changing women's lives the way I hoped it would?
508600	514320	And the director started passing around mirrors and lipstick samples for us to try it ourselves,
514320	519240	and I thought, no, I don't think so anymore.
519240	525120	And a couple days later was the church leadership meeting, and the pastor was telling us that
525120	529120	the church's new mission statement needed to have five points, one for every finger
529120	532760	on the hand, so people could remember it.
532760	538320	And I started looking around this room and thinking about what they would think about
538320	540840	me when I quit.
540840	545200	They would think I was backsliding and falling off the wagon, but it was even worse than
545200	546200	that.
546200	549680	They would think I was going to hell, that my children were going to hell, and if I was
549680	552560	wrong, maybe they would be right.
552560	559520	And I thought, but is this really saving people's souls, this, all this that we're doing?
559520	563760	And the pastor interrupted to say that all five points needed to start with the same
563760	568320	letter.
568320	576880	And I thought, no, I don't think so anymore.
576880	584080	And so that was when I stopped trying to save the world, and I decided to save myself instead
584080	587160	from this life I didn't want anymore.
587160	589920	And it really cost me.
589920	592900	I lost my identity.
592900	594760	I lost belonging.
594800	601880	I lost the ability to ever be that certain or righteous about anything ever again.
601880	606480	And if you can imagine what it's like to lose a faith, and then imagine what it's like to
606480	611640	lose two at once, because even though Mary Kay was a business, it wasn't just that, it
611640	613960	was a way I thought the world worked.
613960	618520	It's a way I thought that we could all win and everybody could get what they needed.
618520	620160	It was really devastating.
620200	625120	I felt like I might not ever be able to trust myself again.
625120	630320	The last piece of our exit strategy was our move to New York.
630320	635480	We were going to get geographic distance, start fresh someplace else.
635480	639720	We landed in Brooklyn in a neighborhood called Park Slope.
639720	646400	And everywhere we went, people were either trying to recruit us into or warn us against
646440	648840	joining the Park Slope food co-op.
654000	662680	And it seemed so unobjectionable, you know?
662680	670400	Like who can argue against cheap, organic, environmentally friendly food, community run?
670400	676840	And part of me was really tempted, because I thought I can have my identity back.
676840	680720	Everyone will know I'm a good person.
680720	682960	And I can belong again.
682960	688040	But there was something about the way that the people we talked to were just so convinced
688040	695040	it was the right thing for everybody that felt creepily familiar.
695080	700400	And I thought, I know where that path leads.
700400	706960	So when one particularly zealous friend cornered me one day and said, are you going to join
706960	708120	or not?
708120	711080	Are you in or are you out?
711080	718880	I just took a deep breath and I looked her in the eyes and I said, sorry, I don't do
718880	721640	religions anymore.
721640	722640	Thank you.
