start	end	text
381020	385740	then we they everybody would know that we cancelled so they said okay well
385740	390460	you'll have to wear the bulletproof vest as well so I said okay the only one they
390460	396140	had was his and this policeman was about 250 pounds and I'm like half that size
396140	401100	so they put it on me and it's enormous and he strapped me in and they gaffers
401100	405780	tape it closed so I'm like okay and I'm like can I still play the guitar I think
405780	410460	so and then I have a they put a huge denim jacket on over that so no one
410460	414740	sees the bulletproof vest so now I'm all decked out like a turtle like this and
414740	418700	my arms are kind of like this I'm like okay but you know I felt really strongly
418700	422220	that we should we should go on we should risk our lives you know this is rock and
422220	429660	roll this is what this is what we do so I remember that moment as I was walking
429660	434340	out on the stage and I see the microphone there and I'm in my denim
434340	439820	jacket and my gaffers tape and my bulletproof vest and things start to
439820	444700	feel like I'm going underwater and as I'm heading for the microphone the
444700	448020	thought suddenly occurs to me that they could shoot me in the head and I'm like
448020	451620	oh I wish I hadn't thought that right now but I not thinking about that anymore
451620	455400	I'm just heading for the microphone and then I pick up the guitar and I start
455400	460680	singing and the other thing that happened was that now this whole
460680	464840	situation has escalated to the point where there's 20 policemen in front of
464840	469840	the stage there's a hundred thousand people behind them there's people as far
469840	473460	as the eye can see from the stage all the way to the horizon this is like
473460	478720	several villages or something not only that but there's helicopters overhead
478720	483640	and they've decided to train the lights not on the stage which they usually do
483640	487880	but from time to time they swivel the lights onto the audience to search them
487880	493120	to see if they see anyone with a weapon so I'm singing every song feels like
493120	498440	it's taking 20 minutes long small blue thing just seems to go on forever and
498440	501920	I'm looking at every so often they swivel the lights onto the audience and
501920	506740	I'm like you know and I continue to play and every so often I turn around to look
506740	511280	at Mike of course he's not there you know Mike is over there with mr. clean
511280	517360	the GI Joe and there's the his amplifier on the floor so it's like
517360	523720	where's Mike oh there's his amp so blah blah I'm playing it's all going pretty
523720	531480	well I'm thinking wow this is great that we're alive and suddenly my keyboard
531480	536000	player approaches me and he says sing Luca and get off stage and I'm like why
536000	541000	and he goes I can't tell you right now but we have to get off stage by 1230
541480	546040	and I'm like okay and then I start thinking well why do they want me to get
546040	549320	off stage did they find some did they find the weapon did they find the girl
549320	552560	did they find her accomplice maybe I should just get off stage and not sing
552560	558280	Luca Luca was my big hit at that point and it was and I decided no we're gonna
558280	561120	stay we're gonna sing Luca we're gonna entertain everybody I've come to be
561120	565480	entertained we have to do this I sing Luca everybody's cheering I come off
565480	570920	stage it feels like it's going in slow motion and I said what happened did they
570920	575920	find the girl no did they find her accomplice no they find somebody with a
575920	581560	weapon no well why did we have to get off stage at 1230 and then the promoter
581560	584440	of the festival comes over to me and says with Miss Vega we didn't get a
584440	588640	chance to explain this to you before but the festival has a curfew because the
588640	593760	farmers in the next field have the cows and the cows get disturbed if you sing
593760	603560	past 1230 and it makes them less productive and that's my story
